ticker|companyName|securityTitle|transactionDate|boughtSold|exercisePrice|exerciseShares|expirationDate|transactionValue|rptOwnerName|owner|linkToTxt|linkToFilingDetails|buysAndSells|onlyBought
VYNE|VYNE Therapeutics Inc.|Common Stock|2020-09-08|A|1.3809|75000.0||103567.5|Domzalski David|Director|https://www.sec.gov/Archives/edgar/data/1566044/000120919120049795/0001209191-20-049795.txt|https://www.sec.gov/Archives/edgar/data/1566044/000120919120049795/xslF345X03/doc4.xml|AA|True
VYNE|VYNE Therapeutics Inc.|Common Stock|2020-09-08|A|1.462|40000.0||58480.0|Saik Andrew|Officer|https://www.sec.gov/Archives/edgar/data/1566044/000120919120049796/0001209191-20-049796.txt|https://www.sec.gov/Archives/edgar/data/1566044/000120919120049796/xslF345X03/doc4.xml|AA|True
ARMK|Aramark|Stock Option (Right to Buy)|2020-09-04|A|0.0|97875.0|2030-09-04|0.0|Bruno Marc A|Officer|https://www.sec.gov/Archives/edgar/data/1584509/000158450920000192/0001584509-20-000192.txt|https://www.sec.gov/Archives/edgar/data/1584509/000158450920000192/xslF345X03/wf-form4_159960993301561.xml|AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|True
ARMK|Aramark|Stock Option (Right to Buy)|2020-09-04|A|0.0|44151.0|2030-09-04|0.0|Bruno Marc A|Officer|https://www.sec.gov/Archives/edgar/data/1584509/000158450920000192/0001584509-20-000192.txt|https://www.sec.gov/Archives/edgar/data/1584509/000158450920000192/xslF345X03/wf-form4_159960993301561.xml|AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|True
ARMK|Aramark|Stock Option (Right to Buy)|2020-09-04|A|0.0|57373.0|2030-09-04|0.0|Bruno Marc A|Officer|https://www.sec.gov/Archives/edgar/data/1584509/000158450920000192/0001584509-20-000192.txt|https://www.sec.gov/Archives/edgar/data/1584509/000158450920000192/xslF345X03/wf-form4_159960993301561.xml|AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|True
ARMK|Aramark|Stock Option (Right to Buy)|2020-09-04|A|0.0|72781.0|2030-09-04|0.0|Bruno Marc A|Officer|https://www.sec.gov/Archives/edgar/data/1584509/000158450920000192/0001584509-20-000192.txt|https://www.sec.gov/Archives/edgar/data/1584509/000158450920000192/xslF345X03/wf-form4_159960993301561.xml|AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|True
ARMK|Aramark|Stock Option (Right to Buy)|2020-09-04|A|0.0|90580.0|2030-09-04|0.0|Bruno Marc A|Officer|https://www.sec.gov/Archives/edgar/data/1584509/000158450920000192/0001584509-20-000192.txt|https://www.sec.gov/Archives/edgar/data/1584509/000158450920000192/xslF345X03/wf-form4_159960993301561.xml|AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|True
ARMK|Aramark|Stock Option (Right to Buy)|2020-09-04|A|0.0|110742.0|2030-09-04|0.0|Bruno Marc A|Officer|https://www.sec.gov/Archives/edgar/data/1584509/000158450920000192/0001584509-20-000192.txt|https://www.sec.gov/Archives/edgar/data/1584509/000158450920000192/xslF345X03/wf-form4_159960993301561.xml|AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|True
ARMK|Aramark|Stock Option (Right to Buy)|2020-09-04|A|0.0|133869.0|2030-09-04|0.0|Bruno Marc A|Officer|https://www.sec.gov/Archives/edgar/data/1584509/000158450920000192/0001584509-20-000192.txt|https://www.sec.gov/Archives/edgar/data/1584509/000158450920000192/xslF345X03/wf-form4_159960993301561.xml|AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|True
ARMK|Aramark|Common Stock|2020-09-04|A|0.0|30919.0||0.0|Bruno Marc A|Officer|https://www.sec.gov/Archives/edgar/data/1584509/000158450920000192/0001584509-20-000192.txt|https://www.sec.gov/Archives/edgar/data/1584509/000158450920000192/xslF345X03/wf-form4_159960993301561.xml|AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|True
